pin_db,am_am,scr
-180.0,0.0,1.0
-47.94140883205898,0.004007951647557278,0.9999678721310816
-41.920810002343885,0.008015517012894702,0.9998714947172281
-38.39898518241847,0.012022309937880714,0.9997108863341593
-35.90021063084657,0.01602794451247666,0.9994860779314637
-33.962010479041915,0.02003203519857407,0.9991971128176924
-32.37838563032707,0.02403419695358124,0.9988440466395071
-31.039449889313122,0.028034045353676002,0.9984269473549039
-29.879610988458122,0.032031196716641855,0.997945895200536
-28.85656056960952,0.03602526822420535,0.9974009826531637
-27.94141078247523,0.040015878043792925,0.996792314385267
-27.11355709901191,0.04400264544962623,0.9961200072148627
-26.35778589764156,0.04798519094307567,0.9953841900495639
-25.662543786349175,0.051963136372192874,0.9945850038249419
-25.018850130828454,0.05593610505034328,0.993722601437236
-24.419585673599254,0.05990372187386203,0.9927971476704774
-23.85901121062409,0.06386561343865614,0.9918088191180883
-23.332432444144494,0.06782140815567822,0.9907578040990258
-22.835960776725976,0.07177073636519812,0.9896443025685485
-22.36633886607215,0.07571323044979936,0.988468526023678
-21.92081097755208,0.07964852494602974,0.987230697403442
-21.49702500131315,0.08357625665463679,0.9859310509839889
-21.092957284238167,0.08749606474931952,0.984569832268657
-20.7068541846133,0.09140759088393059,0.983147297873103
-20.337186074658995,0.09531047929806406,0.9816637154055828
-19.982610739062245,0.09920437692096651,0.9801193633424918
-19.641943956420683,0.10308893347370929,0.9785145308992669
-19.314135635744375,0.10696380156956456,0.9768495178967674
-18.99825029494631,0.11082863681252653,0.9751246346232406
-18.69345096648045,0.11468309789392346,0.9733402016919938
-18.398985832557276,0.11852684668706771,0.9714965498948934
-18.11417705259532,0.122359548339892,0.9695940200518105
-17.83841136506726,0.1261808713655239,0.9676329628561383
-17.571132135959836,0.12999048773075145,0.9656137387165147
-17.31183259460397,0.1337880729423361,0.9635367175948744
-17.060050050264678,0.13757330613112984,0.9614022788409656
-16.815360923644388,0.14134587013395752,0.9592108110234672
-16.577376459277207,0.14510545157322663,0.9569627117578405
-16.34573900982225,0.14885174093422873,0.9546583875310566
-16.12011880309077,0.1525844326401003,0.9522982535233353
-15.900211118450692,0.1563032251244122,0.9498827334270422
-15.685733811936649,0.16000782090135887,0.94741225926288
-15.476425139631846,0.163697926633523,0.9448872711935233
-15.272041837198085,0.1673732531971903,0.9423082173348362
-15.072357420211484,0.17103351574519463,0.9396755535648211
-14.87716067552287,0.17467843376727432,0.936989743330442
-14.686254318445185,0.17830773114792303,0.9342512574524693
-14.499453794364687,0.18192113622172146,0.9314605739284896
-14.316586206527901,0.18551838182613845,0.9286181777342313
-14.137489354390771,0.18909920535179128,0.9257245606233444
-13.96201086912521,0.19266334879015906,0.9227802209257879
-13.790007434736713,0.1962105587787436,0.9197856633449625
-13.621344084816624,0.19974058664367614,0.9167413987537383
-13.455893566283159,0.20325318843976836,0.9136479439895173
-13.293535762596777,0.2067481249880114,0.910505821648476
-13.134157169900945,0.21022516191052504,0.9073155598791274
-12.977650420365428,0.21368406966296424,0.9040776921753426
-12.823913847718531,0.21712462356439194,0.9007927571689753
-12.672851090565128,0.22054660382462649,0.8974612984222178
-12.524370729614283,0.2239497955690786,0.8940838642198344
-12.378385955396478,0.2273339888610901,0.8906610073613996
-12.234814263446124,0.23069897872179165,0.887193284953673
-12.093577174269397,0.23404456514749766,0.8836812582032476
-11.95459997571766,0.23737055312465785,0.8801254922095918
-11.817811485649033,0.24067675264238747,0.8765265557586148
